Date,Open,High,Low,Close,Volume Traded,Value Traded,No. of Trades
2026/07/02,10858.47,10868.11,10826.98,10826.98,261825417.0,4334438273.12,428295.0
2026/07/01,10804.9,10879.82,10804.89,10856.9,294132853.0,5000874221.84,455638.0
2026/06/30,10791.99,10819.47,10756.51,10799.92,305086993.0,5501764100.82,474748.0
2026/06/29,10905.52,10918.38,10785.08,10792.15,246912159.0,4411297831.25,446959.0
2026/06/28,10936.34,10951.01,10877.35,10907.67,145902456.0,2499566392.67,293403.0
2026/06/25,10987.19,10994.78,10933.23,10933.23,207880419.0,4234770544.23,396282.0
2026/06/24,11016.54,11072.2,11006.8,11006.8,242513330.0,4991972445.1,426191.0
2026/06/23,11067.1,11074.18,11022.68,11033.99,202249662.0,4038421163.17,390775.0
2026/06/22,11082.9,11084.31,11052.74,11072.4,180272644.0,3469762532.48,359947.0
2026/06/21,11109.06,11128.22,11067.41,11076.67,167554884.0,2793634429.44,287445.0
2026/06/18,11117.12,11136.26,11099.8,11121.13,276109252.0,6541910657.19,412822.0
2026/06/17,11123.12,11148.48,11093.58,11114.9,182334496.0,4235489036.47,398644.0
2026/06/16,11106.77,11172.15,11101.35,11145.55,235992143.0,4653390215.72,393762.0
2026/06/15,11156.38,11159.46,11091.01,11095.86,307698568.0,6509809913.98,526248.0
2026/06/14,11090.61,11137.49,11085.62,11104.42,203484629.0,4248663301.25,353281.0
2026/06/11,11009.41,11042.02,10995.98,11042.02,214675897.0,4905545729.72,412921.0
2026/06/10,11115.48,11115.71,11008.2,11012.64,238674806.0,5746625607.85,493225.0
2026/06/09,10985.35,11115.37,10982.07,11115.37,316492450.0,7603723576.27,522594.0
2026/06/08,10892.44,10982.03,10879.94,10973.08,269817958.0,5737037941.0,473676.0
2026/06/07,10948.32,10957.35,10907.9,10928.79,186619319.0,3484736758.34,334507.0
